term	meaning	reading
やっぱ	역시, 역시나	やっぱ
てか	아니, 그보다, 그러니까	てか
つーか	아니, 그보다, 그러니까	つーか
っていうか	아니, 그러니까, 정확히는	っていうか
ってか	아니, 그보다	ってか
じゃん	~잖아, ~네	じゃん
じゃね	~아냐?, ~잖아	じゃね
じゃねえ	~아니야, ~아냐	じゃねえ
じゃなくて	~가 아니라	じゃなくて
じゃなくない	~인 거 아니야?, ~하지 않아?	じゃなくない
じゃない	~잖아?, ~아니야?	じゃない
っぽい	~같다, ~스러운 느낌이다	っぽい
みたいな	~같은, ~같은 느낌의	みたいな
みたいな感じ	~같은 느낌	みたいなかんじ
って感じ	~라는 느낌, 그런 느낌	ってかんじ
的な	~같은, ~느낌의	てきな
なんかさ	있잖아, 뭔가 말이야	なんかさ
てかさ	아니 근데 말이야	てかさ
っていうかさ	아니 그러니까 말이야	っていうかさ
なんていうか	뭐랄까, 어떻게 말해야 할까	なんていうか
なんなら	오히려, 필요하면 아예	なんなら
いうて	그래도, 말은 그렇게 해도	いうて
言うて	그래도, 말은 그렇게 해도	いうて
一周回って	돌고 돌아 오히려	いっしゅうまわって
とりま	일단, 우선	とりま
まあいっか	뭐 됐지, 뭐 괜찮겠지	まあいっか
いっか	뭐 됐지, 괜찮겠지	いっか
まあいいや	뭐 됐어, 아무래도 됐어	まあいいや
別にいいけど	상관없긴 한데	べつにいいけど
知らん	몰라	しらん
知らんけど	모르겠지만, 뭐 그렇다더라	しらんけど
どゆこと	무슨 말이야?, 무슨 뜻이야?	どゆこと
どした	왜 그래?, 무슨 일이야?	どした
そっか	그렇구나	そっか
そっすね	그렇네요, 그러네요	そっすね
っす	~요, ~입니다의 가벼운 구어형	っす
っすね	~네요, 그렇네요	っすね
っすか	~인가요?, ~예요?	っすか
ちゃう	~해 버리다, ~하고 말다	ちゃう
ちゃった	~해 버렸다, ~하고 말았다	ちゃった
じゃう	~해 버리다	じゃう
じゃった	~해 버렸다	じゃった
てる	~하고 있다	てる
てた	~하고 있었다	てた
とく	미리 ~해 두다	とく
といた	미리 ~해 뒀다	といた
なきゃ	~해야 해	なきゃ
なくちゃ	~해야 해	なくちゃ
なきゃだめ	~해야 해	なきゃだめ
なくちゃだめ	~해야 해	なくちゃだめ
くない	~하지 않아?, ~아니야?	くない
よくない	괜찮지 않아?, 좋지 않아?	よくない
それな	그러니까, 내 말이	それな
それなすぎる	진짜 너무 내 말이야	それなすぎる
それはそう	그건 그래, 그건 맞아	それはそう
それはある	그건 일리 있어, 그런 면은 있어	それはある
わかるわ	알겠어, 완전 공감돼	わかるわ
あるある	맞아 그런 거 자주 있지, 흔한 일	あるある
ないない	그럴 리 없어, 절대 아니야	ないない
ほんそれ	진짜 그 말이 맞아	ほんそれ
まじで	진짜로, 정말로	まじで
マジ	진짜, 정말	まじ
ガチ	진짜, 진심, 제대로	がち
ガチで	진짜로, 진심으로	がちで
ガチめ	꽤 진심인 편, 제법 강한 편	がちめ
えぐい	심하다, 엄청나다, 쩐다	えぐい
えぐ	와 심하다, 쩐다	えぐ
やば	와 대박, 큰일	やば
ウケる	웃기다, 빵 터지다	うける
ウケるんだけど	아니 이거 웃기네	うけるんだけど
おもろい	재밌다, 웃기다	おもろい
おもろ	웃기네, 재밌네	おもろ
じわる	곱씹을수록 웃기다	じわる
じわじわ来る	점점 웃기거나 와닿다	じわじわくる
ツボる	취향이나 웃음 포인트를 제대로 찌르다	つぼる
ツボった	완전 취향이었다, 빵 터졌다	つぼった
草生える	ㅋㅋㅋ, 웃음이 난다	くさはえる
エモい	감성을 자극하다, 묘하게 벅차다	えもい
メロい	마음이 녹을 만큼 매력적이다	めろい
チルい	느긋하고 편안한 분위기다	ちるい
チルする	느긋하게 쉬다	ちるする
だる	귀찮다, 피곤하다	だる
めんどい	귀찮다, 번거롭다	めんどい
めんど	귀찮네, 번거롭네	めんど
うざ	짜증나, 귀찮아	うざ
ウザい	짜증나다, 성가시다	うざい
キモい	징그럽다, 기분 나쁘다	きもい
キモ	징그러워, 기분 나빠	きも
きしょい	징그럽다, 소름 끼치다	きしょい
きしょ	으 징그러워	きしょ
はずい	쪽팔리다, 부끄럽다	はずい
きっつ	와 빡세다, 너무 세다	きっつ
サムい	썰렁하다, 분위기나 개그가 민망하다	さむい
イタい	보기 민망하다, 오글거리다	いたい
ダサい	촌스럽다, 멋없다	ださい
ダサ	촌스럽네, 구리네	ださ
ドン引き	정색할 정도로 질리거나 놀람	どんびき
引くわ	정떨어진다, 좀 깬다	ひくわ
萎える	의욕이나 흥이 확 식다	なえる
萎え	김샘, 흥이 식음	なえ
激萎え	완전 김샘, 의욕이 확 꺾임	げきなえ
アガる	신나다, 텐션이 오르다	あがる
テンション上がる	신나다, 텐션이 오르다	てんしょんあがる
テンション下がる	기분이나 텐션이 떨어지다	てんしょんさがる
テンション高い	텐션이 높다, 신나 있다	てんしょんたかい
テンション低い	텐션이 낮다, 처져 있다	てんしょんひくい
ノリ	분위기, 기세, 장단	のり
ノリいい	분위기를 잘 타다, 호응이 좋다	のりいい
ノリ悪い	분위기를 못 타다, 호응이 시원찮다	のりわるい
ノリで	그냥 분위기 타서, 즉흥적으로	のりで
ノリ合う	코드나 분위기가 잘 맞다	のりあう
クセ強	개성이 너무 강함	くせつよ
クセが強い	개성이 강하다, 호불호가 세다	くせがつよい
刺さる	취향이나 감정에 강하게 꽂히다	ささる
刺さった	취향이나 감정에 제대로 꽂혔다	ささった
グッとくる	마음에 확 와닿다	ぐっとくる
ドハマり	완전히 푹 빠짐	どはまり
沼る	헤어나오기 힘들 정도로 빠지다	ぬまる
推し	가장 좋아해서 응원하는 대상	おし
推せる	좋아할 만하다, 응원할 만하다	おせる
推し活	최애를 응원하며 즐기는 활동	おしかつ
箱推し	그룹 전체를 좋아하고 응원함	はこおし
単推し	한 명만 집중해서 응원함	たんおし
ガチ恋	팬심을 넘어 진심으로 연애 감정을 느낌	がちこい
同担	같은 최애를 좋아하는 팬	どうたん
同担拒否	같은 최애 팬과 엮이길 꺼림	どうたんきょひ
神回	엄청 잘 나온 에피소드	かみかい
神曲	엄청 좋은 곡, 명곡	かみきょく
神ゲー	엄청 잘 만든 게임	かみげー
神対応	아주 친절하고 훌륭한 대응	かみたいおう
良き	좋다, 괜찮다	よき
よきよき	좋네 좋네, 아주 괜찮다	よきよき
大優勝	최고다, 압도적으로 마음에 든다	だいゆうしょう
天才かよ	천재냐, 너무 잘했네	てんさいかよ
つよつよ	엄청 강함, 실력이 좋음	つよつよ
よわよわ	엄청 약함, 허술함	よわよわ
勝ち確	이긴 게 확정적임	かちかく
負け確	진 게 확정적임	まけかく
アリ	괜찮음, 선택지로 가능함	あり
ナシ	별로임, 선택지로는 아님	なし
あり寄り	꽤 괜찮은 쪽	ありより
なし寄り	별로인 쪽	なしより
全然あり	충분히 괜찮다	ぜんぜんあり
全然いい	완전 괜찮다	ぜんぜんいい
