term	meaning	reading
間	사이, 동안	あいだ
会う	만나다	あう
青い	파랗다, (과일이나 신호등이) 초록색이다, (얼굴이) 창백하다	あおい
赤い	빨갛다	あかい
明るい	밝다	あかるい
秋	가을	あき
開く	열리다, 구멍이 나다	あく
開ける	열다	あける
あげる	주다	あげる
上げる	올리다	あげる
朝	아침	あさ
朝ご飯	아침 식사	あさごはん
明後日	모레	あさって
足	발, 교통수단	あし
明日	내일	あした
あそこ	저기, (완곡하게) 성기	あそこ
遊ぶ	놀다	あそぶ
温かい	따뜻하다	あたたかい
頭	머리	あたま
新しい	새롭다	あたらしい
あちら	저쪽	あちら
厚い	두껍다	あつい
暑い	덥다	あつい
熱い	뜨겁다	あつい
後	뒤, 나중, 나머지	あと
あなた	당신	あなた
兄	오빠	あに
姉	누나	あね
あの	저	あの
浴びる	(샤워를) 하다	あびる
危ない	위험하다	あぶない
甘い	달다, 관대하다, 안이하다	あまい
あまり	(부정 표현과 함께) 그다지, 나머지, 너무	あまり
雨	비	あめ
洗う	씻다	あらう
ありがとうございます	감사합니다	ありがとうございます
ある	있다	ある
歩く	걷다	あるく
あんな	저런	あんな
案内	안내	あんない
いい	좋다	いい
いいえ	아니요	いいえ
いい天気	날씨가 좋다	いいてんき
言う	말하다, (이름을) 부르다	いう
家	집	いえ
家を出る	집을 나서다, 집을 떠나다	いえをでる
以下	이하	いか
行く	가다, 잘되다	いく
いくつ	몇	いくつ
いくら	얼마, 아무리	いくら
池	연못	いけ
医者	의사	いしゃ
以上	이상	いじょう
椅子	의자	いす
忙しい	바쁘다	いそがしい
痛い	아프다	いたい
いただきます	잘 먹겠습니다	いただきます
いちご	딸기	いちご
一番	제일	いちばん
一緒に	같이	いっしょに
行ってらっしゃい	다녀오세요	いってらっしゃい
いつ	언제	いつ
いつか	언젠가	いつか
いつも	항상, 평소	いつも
犬	개	いぬ
今	지금	いま
意味	의미	いみ
妹	여동생	いもうと
妹さん	(남의) 여동생	いもうとさん
嫌	싫다	いや
いらっしゃいませ	어서 오세요	いらっしゃいませ
入り口	입구	いりぐち
いる	(사람이나 동물이) 있다	いる
入れる	넣다, 켜다	いれる
色	색	いろ
色々	여러 가지	いろいろ
上	위	うえ
後ろ	뒤	うしろ
薄い	얇다, 옅다, 희박하다	うすい
歌	노래	うた
歌う	노래를 부르다	うたう
うち	집	うち
美しい	아름답다	うつくしい
生まれる	태어나다	うまれる
海	바다	うみ
売る	팔다	うる
うるさい	시끄럽다, 성가시다, 까다롭다	うるさい
嬉しい	기쁘다	うれしい
上着	겉옷, 상의	うわぎ
運動	운동	うんどう
運動場	운동장	うんどうじょう
絵	그림	え
英会話	영어 회화	えいかいわ
映画	영화	えいが
映画館	영화관	えいがかん
英語	영어	えいご
駅	역	えき
選ぶ	고르다	えらぶ
円	엔, 원	えん
鉛筆	연필	えんぴつ
美味しい	맛있다	おいしい
多い	많다	おおい
大きい	크다	おおきい
大きな	크다	おおきな
お母さん	어머니	おかあさん
お帰りなさい	어서 와요	おかえりなさい
お菓子	과자	おかし
お金	돈	おかね
お客さん	손님	おきゃくさん
起きる	일어나다	おきる
置く	놓다	おく
奥さん	부인	おくさん
お国	(남의) 고향	おくに
送る	보내다, 바래다주다	おくる
遅れる	늦다, 뒤처지다	おくれる
お元気ですか	잘 지내세요?	おげんきですか
お先に	먼저	おさきに
お酒	술	おさけ
お皿	접시	おさら
教える	가르치다, 알려주다	おしえる
おじいさん	할아버지	おじいさん
おじさん	삼촌, 아저씨	おじさん
遅い	느리다, 늦다	おそい
お茶	차, 다도	おちゃ
お手洗い	화장실	おてあらい
お父さん	아버지	おとうさん
弟	남동생	おとうと
弟さん	(남의) 남동생	おとうとさん
男	남자	おとこ
男の子	남자아이	おとこのこ
男の人	남자	おとこのひと
大人	어른	おとな
お腹	배	おなか
お腹が空く	배가 고프다	おなかがすく
お兄さん	형	おにいさん
おにぎり	주먹밥	おにぎり
お姉さん	누나	おねえさん
お願いします	정중히 부탁하다	おねがいします
おはようございます	좋은 아침입니다	おはようございます
おばあさん	할머니	おばあさん
おばさん	(부모와 같은 항렬의 친척인) 아주머니, (친척이 아닌 여성을 부르는) 아주머니	おばさん
お昼	점심, 낮	おひる
お風呂	목욕탕	おふろ
お弁当	도시락	おべんとう
覚える	기억하다, 익히다, 느끼다	おぼえる
お巡りさん	경찰관	おまわりさん
お水	물	おみず
おめでとうございます	축하합니다	おめでとうございます
重い	무겁다	おもい
思う	생각하다	おもう
面白い	재미있다	おもしろい
おもちゃ	장난감	おもちゃ
おやすみなさい	안녕히 주무세요	おやすみなさい
泳ぐ	헤엄치다	およぐ
下りる	내려가다, (탈것에서) 내리다	おりる
降りる	내리다, 물러나다	おりる
終わる	끝나다	おわる
音楽	음악	おんがく
女	여자	おんな
女の子	여자아이	おんなのこ
女の人	여자	おんなのひと
～回	회	かい
海外	해외	かいがい
会議	회의	かいぎ
会社	회사	かいしゃ
会場	행사장	かいじょう
階段	계단	かいだん
買い物	쇼핑	かいもの
買う	사다, (능력 등을) 높이 평가하다, (분노나 반감 등을) 사다	かう
返す	돌려주다, 갚다	かえす
変える	바꾸다	かえる
帰る	돌아가다	かえる
顔	얼굴	かお
書く	쓰다	かく
かける	걸다, (안경을) 쓰다, (시간이나 돈을) 들이다	かける
傘	우산	かさ
歌手	가수	かしゅ
貸す	빌려주다	かす
風	바람	かぜ
風邪	감기	かぜ
家族	가족	かぞく
家庭	가정	かてい
角	모퉁이	かど
悲しい	슬프다	かなしい
金	돈	かね
彼女	그녀, 여자 친구	かのじょ
かばん	가방	かばん
花瓶	꽃병	かびん
かぶる	(모자를) 쓰다, 뒤집어쓰다	かぶる
紙	종이	かみ
辛い	맵다	からい
体	몸	からだ
借りる	빌리다	かりる
軽い	가볍다	かるい
彼	그, 남자 친구	かれ
彼ら	그들	かれら
川	하천	かわ
変わる	바뀌다, 다르다, 특이하다	かわる
～巻	권	かん
考える	생각하다	かんがえる
韓国	한국	かんこく
感謝	감사	かんしゃ
漢字	한자	かんじ
簡単	간단하다	かんたん
外国	외국	がいこく
外国語	외국어	がいこくご
外国人	외국인	がいこくじん
学生	학생	がくせい
学校	학교	がっこう
頑張る	노력하다	がんばる
木	나무	き
黄色い	노랗다	きいろい
消える	사라지다, 꺼지다	きえる
期間	기간	きかん
聞く	듣다, 묻다	きく
北	북쪽	きた
北側	북쪽	きたがわ
北口	북쪽 출입구	きたぐち
汚い	더럽다, 지저분하다	きたない
喫茶店	카페	きっさてん
切手	우표	きって
昨日	어제	きのう
決まる	정해지다, (슛이나 기술이) 성공하다	きまる
決める	정하다, (슛이나 동작을) 성공시키다	きめる
着物	기모노, 옷	きもの
客	손님	きゃく
今日	오늘	きょう
教育	교육	きょういく
教室	교실	きょうしつ
兄弟	형제자매	きょうだい
去年	작년	きょねん
切る	자르다, (전원을) 끄다	きる
着る	(옷을) 입다	きる
綺麗	예쁘다, 깨끗하다	きれい
牛肉	소고기	ぎゅうにく
牛乳	우유	ぎゅうにゅう
銀行	은행	ぎんこう
薬	약	くすり
薬を飲む	약을 먹다	くすりをのむ
果物	과일	くだもの
口	입	くち
靴	신발	くつ
靴下	양말	くつした
国	나라, 고향	くに
曇る	흐리다	くもる
暗い	어둡다	くらい
来る	오다	くる
車	자동차	くるま
くれる	(나나 내 편에게) 주다	くれる
黒い	검다	くろい
今朝	오늘 아침	けさ
消しゴム	지우개	けしゴム
消す	끄다, 지우다	けす
結構	괜찮다, 제법, 훌륭하다	けっこう
結婚	결혼	けっこん
子	아이, 새끼	こ
公園	공원	こうえん
高校	고등학교	こうこう
交差点	교차로	こうさてん
