term	meaning	reading
営業中	영업 중	えいぎょうちゅう
準備中	준비 중	じゅんびちゅう
臨時休業	임시 휴업	りんじきゅうぎょう
年中無休	연중무휴	ねんじゅうむきゅう
本日休業	오늘 휴업	ほんじつきゅうぎょう
貸切	대관, 전세	かしきり
満席	만석	まんせき
案内所	안내소	あんないじょ
総合案内	종합 안내	そうごうあんない
精算所	정산소	せいさんじょ
自動券売機	자동 발권기	じどうけんばいき
両替機	환전기	りょうがえき
有人改札	유인 개찰구	ゆうじんかいさつ
無人駅	무인역	むじんえき
乗換口	환승 통로	のりかえぐち
連絡通路	연결 통로	れんらくつうろ
中央口	중앙 출구	ちゅうおうぐち
出口専用	출구 전용	でぐちせんよう
入口専用	입구 전용	いりぐちせんよう
立入禁止	출입 금지	たちいりきんし
関係者以外立入禁止	관계자 외 출입 금지	かんけいしゃいがいたちいりきんし
通行止め	통행 금지	つうこうどめ
通り抜け禁止	통과 금지	とおりぬけきんし
進入禁止	진입 금지	しんにゅうきんし
駐輪禁止	자전거 주차 금지	ちゅうりんきんし
駐車禁止	주차 금지	ちゅうしゃきんし
駐停車禁止	주정차 금지	ちゅうていしゃきんし
路上駐車	노상 주차	ろじょうちゅうしゃ
月極駐車場	월정액 주차장	つきぎめちゅうしゃじょう
満車	만차	まんしゃ
空車	빈차, 주차 가능	くうしゃ
入庫	입차	にゅうこ
出庫	출차	しゅっこ
車止め	차량 진입 방지대	くるまどめ
時間貸し	시간제 대여	じかんがし
最大料金	최대 요금	さいだいりょうきん
前払い	선불	まえばらい
後払い	후불	あとばらい
現金のみ	현금만 가능	げんきんのみ
現金不可	현금 사용 불가	げんきんふか
電子決済	전자 결제	でんしけっさい
交通系IC	교통계 IC카드	こうつうけいアイシー
タッチ決済	터치 결제	たっちけっさい
暗証番号	비밀번호, PIN	あんしょうばんごう
免税手続き	면세 수속	めんぜいてつづき
税別	세금 별도	ぜいべつ
本体価格	세전 본체 가격	ほんたいかかく
値札	가격표	ねふだ
特価	특가	とっか
